Trend data for Model:	
Model time base:		1
Plot duration (secs):		7200

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.789464		3.78675		40.97492		11.9256		12.0965		54		22.97217		22.96308		79.42691		54.02393		54		12.0965		39.95633		40		22.96308		98.24007		98.45735		54.94209		52.85818		52.79315		62.01056		35.31593		35.3		98.45735		48.50288		48.51		52.79315
1		3.787232		3.78675		40.32395		11.98893		12.00106		55.42685		22.94842		22.97141		79.45615		53.99997		54		12.00106		39.94903		40		22.96089		98.3063		98.24291		54.93428		52.79974		52.72978		64.70319		35.30089		35.3		98.24051		48.5162		48.51		52.92631
2		3.786747		3.78675		40.18233		11.83588		12.01511		55.60251		22.94543		22.96278		79.44881		54.0035		54		12.01511		39.99833		40		22.97567		98.28103		98.39662		54.96543		52.8896		52.9054		60.57192		35.29799		35.3		98.19905		48.50784		48.51		52.84272
3		3.787178		3.78675		40.3084		12.03315		11.86468		55.2551		23.02736		22.97249		79.38271		53.96576		54		11.86468		39.96061		40		22.96434		98.18647		98.47635		54.99746		52.79858		52.73273		64.47081		35.29348		35.3		98.13461		48.50676		48.51		52.83195
4		3.785862		3.78675		39.92425		11.86145		12.1856		55.72654		23.0027		22.96454		79.39195		54.04634		54		12.1856		39.99466		40		22.97453		98.29465		98.35745		54.96186		52.85567		52.93614		57.44742		35.30556		35.3		98.3091		48.51816		48.51		52.94598
5		3.78744		3.78675		40.38455		12.12971		11.77419		55.05691		23.0283		22.97011		79.37092		53.94309		54		11.77419		39.96476		40		22.96555		98.16902		98.47034		55.00328		52.86759		52.8904		60.17786		35.30414		35.3		98.2892		48.51307		48.51		52.89513
6		3.790216		3.78675		41.19417		11.85616		12.06204		55.59551		22.98359		22.97576		79.41755		54.01535		54		12.06204		39.97952		40		22.96996		98.29666		98.22266		54.9385		52.8191		52.87049		58.82492		35.30778		35.3		98.34113		48.49829		48.51		52.74724
7		3.786991		3.78675		40.25388		12.10067		11.98285		55.28812		23.01494		22.98093		79.39179		53.99547		54		11.98285		39.94274		40		22.95891		98.07435		98.31703		54.99521		52.83024		52.78289		63.56522		35.30268		35.3		98.26832		48.51354		48.51		52.89978
8		3.785672		3.78675		39.86901		12.01135		11.90814		55.27425		22.96672		22.96894		79.4237		53.97674		54		11.90814		39.94677		40		22.9601		98.27499		98.4457		54.98788		52.85747		52.94		57.31564		35.29654		35.3		98.18035		48.51919		48.51		52.95626
9		3.787974		3.78675		40.54053		11.95411		12.39545		55.81719		23.00264		22.96533		79.38693		54.09904		54		12.39545		39.97624		40		22.96893		98.18427		98.02543		54.93106		52.89138		52.907		60.52552		35.29803		35.3		98.20126		48.52176		48.51		52.98198
10		3.787407		3.78675		40.37527		12		11.808		55.17872		22.98662		22.97232		79.4056		53.95162		54		11.808		39.98614		40		22.97189		98.25276		98.17509		54.94601		52.93258		52.82887		66.23513		35.29991		35.3		98.22871		48.49804		48.51		52.74483
11		3.78543		3.78675		39.7984		12.05018		11.68177		54.99129		22.97456		22.94934		79.39226		53.91996		54		11.68177		39.95057		40		22.96119		98.17212		98.31179		54.9828		52.91587		52.86242		63.86261		35.30107		35.3		98.24554		48.50093		48.51		52.77372
12		3.787563		3.78675		40.42043		11.78883		12.04494		55.59288		22.99742		22.98325		79.40455		54.01116		54		12.04494		40.00817		40		22.97847		98.34287		98.22012		54.93356		52.83887		52.96882		55.07133		35.29851		35.3		98.20775		48.51496		48.51		52.91402
13		3.786975		3.78675		40.249		12.08547		11.98727		55.25725		22.95929		22.97902		79.43478		53.99669		54		11.98727		40.03852		40		22.98759		98.1439		98.25391		54.97159		52.84993		53.05808		51.30753		35.31073		35.3		98.38411		48.51138		48.51		52.87822
14		3.785837		3.78675		39.917		11.96845		12.11613		55.481		22.95499		22.96908		79.43016		54.02907		54		12.11613		39.96991		40		22.96699		98.31685		98.22226		54.93672		52.88717		52.93698		58.88637		35.29056		35.3		98.09295		48.51486		48.51		52.913
15		3.787366		3.78675		40.36314		11.93216		12.29248		55.69809		23.01739		22.95969		79.35816		54.07334		54		12.29248		39.97092		40		22.96727		98.18304		98.14561		54.94273		52.88793		52.86594		62.33955		35.3064		35.3		98.32102		48.49285		48.51		52.69294
16		3.785959		3.78675		39.95258		11.94189		11.80693		55.21876		22.98223		22.96836		79.39947		53.95148		54		11.80693		39.94513		40		22.95951		98.33024		98.38108		54.95957		52.85638		52.90046		59.18458		35.3016		35.3		98.25259		48.51777		48.51		52.9421
17		3.785901		3.78675		39.93573		11.96135		11.80056		55.18225		22.92311		22.96795		79.45296		53.94993		54		11.80056		39.9974		40		22.97519		98.28438		98.57704		55.00011		52.84078		52.80442		63.01821		35.28648		35.3		98.03523		48.5081		48.51		52.84544
18		3.788947		3.78675		40.82395		12.15101		12.48154		55.68799		22.98336		22.97837		79.40762		54.12081		54		12.48154		39.99312		40		22.97389		98.08075		98.36296		54.99639		52.87069		52.83306		63.06401		35.30186		35.3		98.25642		48.51047		48.51		52.86915
19		3.788488		3.78675		40.69025		11.89288		12.35998		55.83036		22.93716		22.97286		79.44614		54.09027		54		12.35998		40.0314		40		22.98538		98.2679		98.30971		54.95976		52.80665		52.93413		55.10585		35.30573		35.3		98.31242		48.52035		48.51		52.968
20		3.787096		3.78675		40.28439		11.95166		11.88043		55.28716		22.98833		22.965		79.39377		53.96995		54		11.88043		39.99323		40		22.97392		98.26523		98.24061		54.95098		52.8772		52.97707		56.39478		35.29858		35.3		98.21022		48.51921		48.51		52.95666
21		3.785134		3.78675		39.71193		12.04405		12.17273		55.51821		22.9975		22.96858		79.38537		54.04327		54		12.17273		40.02777		40		22.98428		98.25107		98.22742		54.94872		52.86881		52.9579		56.89343		35.30307		35.3		98.27485		48.51819		48.51		52.94648
22		3.787378		3.78675		40.36661		11.88781		11.71757		55.24009		22.98038		22.98018		79.41481		53.92901		54		11.71757		39.96967		40		22.96686		98.35364		98.12918		54.91492		52.99427		53.03512		59.19784		35.3006		35.3		98.23924		48.50479		48.51		52.81251
23		3.786667		3.78675		40.15909		11.97782		12.15732		55.59605		22.95739		22.98425		79.44162		54.03939		54		12.15732		39.98005		40		22.96997		98.19526		98.36515		54.98057		52.94536		52.93497		61.65203		35.29427		35.3		98.14811		48.51029		48.51		52.86755
24		3.786046		3.78675		39.97799		11.98091		12.01933		55.44196		22.9781		22.97189		79.41585		54.00478		54		12.01933		39.98287		40		22.97081		98.24649		97.98666		54.90461		52.95109		52.87031		65.04813		35.29046		35.3		98.09239		48.52034		48.51		52.96806
25		3.7863		3.78675		40.05201		11.97006		12.10806		55.55364		22.98901		22.98433		79.41658		54.02704		54		12.10806		39.95717		40		22.96308		98.12038		98.34417		54.98789		52.88061		52.84723		62.77642		35.31463		35.3		98.44112		48.51165		48.51		52.88123
26		3.786033		3.78675		39.97436		11.84883		11.64972		55.19882		22.98789		22.96628		79.40046		53.91206		54		11.64972		39.97284		40		22.96777		98.44691		98.21077		54.91323		52.89509		52.89131		61.38809		35.27861		35.3		97.92257		48.50991		48.51		52.86371
27		3.786148		3.78675		40.00775		12.00426		11.60888		55.02191		22.93171		22.97131		79.45905		53.90181		54		11.60888		39.98059		40		22.97008		98.05832		97.79237		54.90174		52.91821		52.79214		67.24977		35.30177		35.3		98.2556		48.50886		48.51		52.85324
28		3.788828		3.78675		40.7895		11.99218		12.0851		55.49234		22.96927		22.97364		79.43021		54.02135		54		12.0851		39.89932		40		22.94568		98.23171		98.49581		54.99349		52.8968		53.10323		51.32531		35.2958		35.3		98.16954		48.51744		48.51		52.93912
29		3.78693		3.78675		40.23597		12.09399		11.85894		55.18355		22.93053		22.96196		79.45337		53.96455		54		11.85894		39.97442		40		22.9682		98.16381		98.63297		55.03301		52.90266		52.97166		57.8625		35.32261		35.3		98.55692		48.51316		48.51		52.89633
30		3.786547		3.78675		40.12418		11.79488		11.96843		55.55462		22.98618		22.96576		79.40885		53.99209		54		11.96843		39.94579		40		22.95959		98.44024		98.35677		54.94337		52.92152		52.78554		67.66722		35.30529		35.3		98.3079		48.50543		48.51		52.81904
31		3.786166		3.78675		40.01314		12.14377		12.13405		55.39895		22.94813		22.97224		79.44985		54.03365		54		12.13405		39.97848		40		22.96938		98.10913		98.18319		54.96878		52.87937		52.81293		64.34942		35.28362		35.3		97.9956		48.51416		48.51		52.9064
32		3.786641		3.78675		40.15173		12.00808		11.90618		55.31994		22.95091		22.95246		79.42747		53.9764		54		11.90618		39.95058		40		22.96099		98.15904		98.47222		55.01266		52.88023		52.91424		59.51866		35.30551		35.3		98.31134		48.52333		48.51		52.99814
33		3.787193		3.78675		40.31274		11.93754		12.02337		55.49051		23.00131		22.9714		79.40152		54.00584		54		12.02337		40.00274		40		22.97663		98.32209		98.10006		54.92349		52.90513		52.93111		59.89031		35.31954		35.3		98.51359		48.51947		48.51		52.95955
34		3.788579		3.78675		40.71701		11.93956		11.70952		55.18108		22.91484		22.98329		79.49391		53.92708		54		11.70952		39.97657		40		22.96879		98.22003		98.05081		54.93171		52.96005		52.75182		71.13411		35.30289		35.3		98.27368		48.52596		48.51		53.0245
35		3.786718		3.78675		40.17412		12.03686		12.01513		55.39229		22.98374		22.95685		79.40908		54.00378		54		12.01513		39.98795		40		22.97219		98.17973		98.38798		54.995		53.00194		53.06431		58.19019		35.30348		35.3		98.28219		48.50905		48.51		52.85539
36		3.788348		3.78675		40.64976		11.97524		11.62891		55.03344		22.99497		22.97124		79.40908		53.9069		54		11.62891		40.04324		40		22.98878		98.26251		98.11295		54.93977		52.9387		52.81555		67.1351		35.31676		35.3		98.47462		48.49086		48.51		52.67345
37		3.787185		3.78675		40.31054		11.95078		12.0307		55.45187		23.02171		22.97356		79.38488		54.00776		54		12.0307		39.96651		40		22.96575		98.26484		98.25344		54.96158		52.92405		52.79832		67.30365		35.30165		35.3		98.2565		48.52019		48.51		52.96671
38		3.787224		3.78675		40.32182		11.99459		12.10795		55.50124		22.97394		22.97514		79.42597		54.02714		54		12.10795		40.02827		40		22.98427		98.24944		98.41057		54.99515		52.85931		52.82119		63.10986		35.3078		35.3		98.34615		48.50644		48.51		52.8293
39		3.785657		3.78675		39.86474		11.97735		11.98174		55.3528		22.97348		22.9486		79.40188		53.99552		54		11.98174		39.98796		40		22.97216		98.29653		98.00388		54.918		52.91431		52.74745		69.31778		35.29546		35.3		98.16817		48.51362		48.51		52.90104
40		3.78687		3.78675		40.21839		11.95999		12.0542		55.42956		22.9515		22.96523		79.43417		54.01374		54		12.0542		39.96485		40		22.96521		98.21341		98.1781		54.95718		52.85116		52.98071		55.12732		35.30553		35.3		98.31272		48.52223		48.51		52.98709
41		3.784874		3.78675		39.63618		11.97387		11.95033		55.32403		22.9447		22.97845		79.45695		53.98767		54		11.95033		39.98313		40		22.97069		98.27306		98.29511		54.96764		52.85896		52.80724		63.79367		35.29329		35.3		98.13643		48.50327		48.51		52.79756
42		3.78524		3.78675		39.74303		12.03241		12.45983		55.79446		22.98465		22.974		79.41827		54.11551		54		12.45983		39.91797		40		22.95113		98.20233		98.16115		54.95581		52.81114		52.84119		59.9195		35.303		35.3		98.27624		48.49653		48.51		52.73006
