Trend data for Model:	
Model time base:		12
Plot duration (secs):		7200

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
12		3.789577		3.78675		40.55839		11.72354		12.00015		54.96581		23.06196		22.98898		79.4448		53.99882		54		12.00015		39.98537		40		23.00019		98.36888		98.51866		54.94809		52.87574		52.9485		54.60413		35.30055		35.3		98.27684		48.52372		48.51		52.94182
24		3.78667		3.78675		39.71245		11.71274		11.804		54.96668		23.03949		23.01405		79.48		53.9502		54		11.804		39.99828		40		23.00793		98.53382		98.39808		54.92118		52.93571		52.71074		69.1912		35.30944		35.3		98.41845		48.52761		48.51		52.98138
36		3.790121		3.78675		40.72122		11.85253		12.12878		55.30807		23.02362		23.03463		79.49885		54.0324		54		12.12878		40.04418		40		23.03548		98.40516		98.11885		54.91019		52.8396		52.88115		56.56043		35.32326		35.3		98.63161		48.51055		48.51		52.81156
48		3.788192		3.78675		40.16043		11.88893		11.70889		54.88082		22.99834		22.98746		79.48221		53.92773		54		11.70889		40.02703		40		23.02526		98.35986		98.5583		55.01399		52.94433		52.78349		66.29401		35.31595		35.3		98.53752		48.50235		48.51		52.7302
60		3.788227		3.78675		40.17274		11.76641		11.64586		54.8686		23.00131		23.02909		79.51904		53.91275		54		11.64586		40.01049		40		23.01538		98.47253		98.60092		55.03035		52.94891		52.98947		56.73143		35.31087		35.3		98.47614		48.52162		48.51		52.92323
72		3.78649		3.78675		39.66873		11.61837		11.68967		55.06736		23.02		23.02567		79.50053		53.92452		54		11.68967		40.04291		40		23.0349		98.60639		98.76812		55.08025		52.96989		52.77593		68.11132		35.3124		35.3		98.51616		48.52181		48.51		52.9259
84		3.786618		3.78675		39.70817		11.68783		12.22116		55.54493		23.03646		23.02512		79.478		54.0587		54		12.22116		40.04711		40		23.03751		98.57715		98.78338		55.08524		52.90899		52.97758		55.89057		35.3161		35.3		98.57865		48.51617		48.51		52.87006
96		3.788845		3.78675		40.35972		11.67902		11.77603		55.03058		23.01753		23.0388		79.52163		53.94784		54		11.77603		40.04886		40		23.03873		98.45119		98.77303		55.12617		52.98398		52.88725		63.92884		35.31757		35.3		98.6117		48.51959		48.51		52.90489
108		3.790687		3.78675		40.89837		11.7042		11.96209		55.13079		23.05105		23.01488		79.49104		53.99548		54		11.96209		40.02103		40		23.0222		98.508		98.72137		55.12843		52.86814		52.95317		55.46714		35.30809		35.3		98.48905		48.51001		48.51		52.80954
120		3.788124		3.78675		40.15301		11.66087		11.68962		54.79025		23.02793		23.04097		79.54922		53.92836		54		11.68962		40.04708		40		23.03809		98.48306		98.39337		55.07277		52.96176		52.96415		59.41682		35.30904		35.3		98.51459		48.5027		48.51		52.7372
132		3.785803		3.78675		39.47777		11.60551		11.67806		54.79332		23.05059		23.04708		79.53859		53.92666		54		11.67806		40.04344		40		23.0361		98.64366		98.60746		55.0488		52.88209		52.93023		57.4396		35.30949		35.3		98.52641		48.52006		48.51		52.91119
144		3.787408		3.78675		39.94762		11.5708		11.8365		54.96035		23.01052		23.04076		79.5912		53.9678		54		11.8365		40.06124		40		23.04715		98.49042		98.42419		55.01009		52.83078		52.80113		61.33532		35.3006		35.3		98.40498		48.50712		48.51		52.78224
156		3.789064		3.78675		40.43297		11.43846		11.45643		54.66396		23.06609		23.05685		79.55156		53.87373		54		11.45643		40.07254		40		23.05424		98.62368		98.61359		55.02024		52.85603		52.68632		67.96661		35.31877		35.3		98.67768		48.50815		48.51		52.79288
168		3.786412		3.78675		39.66209		11.50303		11.66573		54.83398		23.00879		23.06603		79.61761		53.92739		54		11.66573		40.0799		40		23.059		98.61181		98.31548		54.9786		52.97606		52.73573		71.29923		35.30261		35.3		98.45579		48.52656		48.51		52.97755
180		3.789662		3.78675		40.61235		11.73387		11.47598		54.38868		23.06679		23.04538		79.55018		53.88111		54		11.47598		40.0562		40		23.04516		98.47253		98.81573		55.07468		52.84552		52.90797		57.09753		35.30192		35.3		98.45413		48.51111		48.51		52.82344
192		3.788723		3.78675		40.34037		11.43851		11.61483		54.74479		22.98967		23.05233		79.63497		53.9174		54		11.61483		40.0891		40		23.06533		98.70495		98.59661		54.98608		52.87928		52.74223		66.80482		35.30224		35.3		98.46739		48.5155		48.51		52.86749
204		3.789589		3.78675		40.5948		11.86154		11.74321		54.41503		23.06859		23.06185		79.58074		53.95101		54		11.74321		40.05643		40		23.04622		98.41275		98.56502		54.99117		52.89155		52.77391		65.89273		35.29627		35.3		98.3836		48.51318		48.51		52.84441
216		3.7879		3.78675		40.10405		11.45563		11.69866		54.74844		23.06002		23.07985		79.61634		53.94142		54		11.69866		40.08559		40		23.06422		98.62468		98.25671		54.86921		52.8271		52.77684		62.96649		35.30364		35.3		98.49331		48.51648		48.51		52.87788
228		3.789678		3.78675		40.62519		11.40153		11.51077		54.56292		23.07179		23.08921		79.63697		53.89566		54		11.51077		40.04606		40		23.04111		98.60907		98.80002		54.9797		52.93882		52.95066		59.93289		35.30507		35.3		98.52337		48.51626		48.51		52.87584
240		3.788069		3.78675		40.15797		11.72732		11.41057		54.16773		23.04425		23.0693		79.64508		53.87198		54		11.41057		40.08636		40		23.06583		98.43558		98.3783		54.92528		52.78086		52.76579		61.04497		35.30309		35.3		98.502		48.507		48.51		52.78345
252		3.788244		3.78675		40.21091		11.63312		11.47219		54.30298		23.01967		23.06843		79.68435		53.88887		54		11.47219		40.08407		40		23.06508		98.39188		98.3719		54.92439		52.89237		52.71617		68.78935		35.30848		35.3		98.58421		48.53141		48.51		53.02782
264		3.787625		3.78675		40.03224		11.50235		11.72348		54.61084		23.10232		23.10173		79.65048		53.95341		54		11.72348		40.08348		40		23.06543		98.62036		98.47626		54.89377		52.80834		52.81755		59.94427		35.31068		35.3		98.61969		48.51412		48.51		52.85511
276		3.788453		3.78675		40.2749		11.55389		11.38109		54.22284		23.12416		23.10323		79.64739		53.86876		54		11.38109		40.15016		40		23.10617		98.62637		98.55847		54.88894		52.89091		52.71261		69.04413		35.29614		35.3		98.41109		48.51082		48.51		52.82209
288		3.788294		3.78675		40.23087		11.57707		11.52998		54.32887		23.07051		23.12269		79.73764		53.90759		54		11.52998		40.14775		40		23.10552		98.55012		98.40523		54.87585		52.81031		52.73434		64.29968		35.31375		35.3		98.67095		48.50186		48.51		52.7325
300		3.78855		3.78675		40.30751		11.59897		11.50509		54.26955		23.08456		23.1131		79.70676		53.90295		54		11.50509		40.16305		40		23.11546		98.61039		98.61163		54.86624		52.85396		52.88416		59.30735		35.30765		35.3		98.58454		48.49905		48.51		52.70446
312		3.786929		3.78675		39.83621		11.54304		11.7426		54.52416		23.09058		23.08023		79.68505		53.9641		54		11.7426		40.11475		40		23.08735		98.55862		98.4993		54.84043		52.74283		52.74609		60.65323		35.29946		35.3		98.4993		48.50075		48.51		52.74609
324		3.789716		3.78675		40.65075		11.47581		11.45655		54.43983		23.08817		23.13429		79.76465		53.89346		54		11.45655		40.16836		40		23.12041		98.48964		98.4993		54.84394		52.75322		52.74609		61.27105		35.32093		35.3		98.4993		48.52394		48.51		52.74609
336		3.788823		3.78675		40.39258		11.38257		11.51835		54.60213		23.09531		23.13722		79.77463		53.91013		54		11.51835		40.18686		40		23.13244		98.57958		98.4993		54.83634		52.77937		52.74609		62.61886		35.30181		35.3		98.4993		48.50426		48.51		52.74609
348		3.786293		3.78675		39.65641		11.51358		11.78496		54.79616		23.06664		23.10596		79.78014		53.97816		54		11.78496		40.13653		40		23.10319		98.51655		98.4993		54.84924		52.76859		52.74609		62.16708		35.29518		35.3		98.4993		48.50365		48.51		52.74609
360		3.787912		3.78675		40.13009		11.47639		11.91466		54.91146		23.12202		23.1387		79.75891		54.01196		54		11.91466		40.17997		40		23.13024		98.54943		98.4993		54.84696		52.73526		52.74609		60.66097		35.30177		35.3		98.4993		48.49982		48.51		52.74609
372		3.786961		3.78675		39.85448		11.60786		12.02639		54.9375		23.11319		23.15264		79.79164		54.04096		54		12.02639		40.2139		40		23.15159		98.46915		98.4993		54.87125		52.73716		52.74609		60.80475		35.30456		35.3		98.4993		48.52048		48.51		52.74609
384		3.791619		3.78675		41.21516		11.62665		11.5828		54.43122		23.10492		23.14516		79.80057		53.93069		54		11.5828		40.15822		40		23.11924		98.48715		98.4993		54.8773		52.73179		52.74609		60.59994		35.30615		35.3		98.4993		48.50722		48.51		52.74609
396		3.789117		3.78675		40.48767		11.73153		11.50526		54.28327		23.16289		23.15477		79.77646		53.91215		54		11.50526		40.08582		40		23.0769		98.3777		98.4993		54.90206		52.75263		52.74609		61.63758		35.31253		35.3		98.4993		48.50998		48.51		52.74609
408		3.788901		3.78675		40.4272		11.64913		11.70288		54.63733		23.11383		23.1497		79.81832		53.96256		54		11.70288		40.18311		40		23.13636		98.46912		98.4993		54.8935		52.70982		52.74609		59.63111		35.32761		35.3		98.4993		48.52035		48.51		52.74609
420		3.787875		3.78675		40.1304		11.57985		11.45384		54.37625		23.17372		23.12726		79.75228		53.90105		54		11.45384		40.18017		40		23.13573		98.52061		98.4993		54.89289		52.72214		52.74609		60.22238		35.32383		35.3		98.4993		48.50908		48.51		52.74609
432		3.78968		3.78675		40.65888		11.55555		11.68513		54.69016		23.17953		23.1658		79.77724		53.95991		54		11.68513		40.16811		40		23.12965		98.49604		98.4993		54.89877		52.7436		52.74609		61.2913		35.3074		35.3		98.4993		48.51329		48.51		52.74609
444		3.78723		3.78675		39.94671		11.67698		11.93865		54.81268		23.16149		23.1498		79.79004		54.02451		54		11.93865		40.23344		40		23.17005		98.51641		98.4993		54.89622		52.71833		52.74609		60.07556		35.3296		35.3		98.4993		48.51817		48.51		52.74609
456		3.786689		3.78675		39.791		11.61334		11.63218		54.60229		23.16301		23.1641		79.8084		53.94841		54		11.63218		40.17879		40		23.13846		98.48501		98.4993		54.90203		52.78516		52.74609		63.27212		35.28772		35.3		98.4993		48.47827		48.51		52.74609
468		3.788421		3.78675		40.29772		11.69533		11.65565		54.57762		23.17181		23.16091		79.80806		53.955		54		11.65565		40.20699		40		23.15663		98.42893		98.4993		54.92144		52.74937		52.74609		61.59842		35.31173		35.3		98.4993		48.50164		48.51		52.74609
480		3.787185		3.78675		39.93927		11.64207		11.58058		54.55235		23.14839		23.14649		79.83772		53.93684		54		11.58058		40.2135		40		23.1618		98.49452		98.4993		54.92386		52.75305		52.74609		61.77711		35.29372		35.3		98.4993		48.50286		48.51		52.74609
492		3.788125		3.78675		40.21567		11.81706		11.80481		54.70003		23.14537		23.18253		79.88553		53.99367		54		11.80481		40.22804		40		23.17181		98.34881		98.4993		54.95408		52.74256		52.74609		61.33124		35.27949		35.3		98.4993		48.49827		48.51		52.74609
504		3.787164		3.78675		39.93742		11.66615		11.53639		54.64421		23.15844		23.15499		79.85415		53.92665		54		11.53639		40.20357		40		23.1584		98.53875		98.4993		54.94197		52.72587		52.74609		60.54462		35.29058		35.3		98.4993		48.49945		48.51		52.74609
