Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788938		3.78675		40.54074		11.80755		11.81479		55.18995		23.10978		23.12842		79.84847		53.98069		54		11.81479		40.1712		40		23.15869		98.46382		98.46376		55.15769		52.74105		52.79122		59.0242		35.30088		35.3		98.47026		48.5094		48.51		52.80879
3		3.788861		3.78675		40.51882		11.9402		11.87898		55.1299		23.13355		23.14544		79.83676		54.00296		54		11.87898		40.12266		40		23.12978		98.4725		98.61078		55.18069		52.77565		52.77679		61.39296		35.28473		35.3		98.23743		48.51625		48.51		52.87715
6		3.786218		3.78675		39.74815		11.92413		11.88765		55.15989		23.18735		23.12067		79.75698		54.00596		54		11.88765		40.16132		40		23.15317		98.45609		98.4498		55.15792		52.79618		52.75656		63.36648		35.27998		35.3		98.16925		48.50007		48.51		52.71528
9		3.788768		3.78675		40.49209		11.92814		11.82329		55.11094		23.18196		23.15187		79.79102		53.98358		54		11.82329		40.13004		40		23.13462		98.35309		98.39741		55.15739		52.79402		52.68478		66.77818		35.30128		35.3		98.47461		48.51378		48.51		52.85226
12		3.788074		3.78675		40.29		11.88441		11.96205		55.28609		23.1298		23.16192		79.85154		54.03175		54		11.96205		40.15088		40		23.14735		98.42645		98.23844		55.12667		52.73696		52.88047		54.68703		35.2882		35.3		98.28695		48.51712		48.51		52.8857
15		3.78694		3.78675		39.95994		11.90756		11.78267		55.12092		23.12735		23.13839		79.83431		53.96939		54		11.78267		40.14627		40		23.14481		98.39707		98.30819		55.14601		52.78871		52.97183		52.80005		35.29854		35.3		98.43611		48.49224		48.51		52.63682
18		3.787132		3.78675		40.01631		11.8845		11.81283		55.17081		23.12008		23.15879		79.85851		53.97984		54		11.81283		40.12247		40		23.13074		98.32538		98.29975		55.15549		52.72351		52.73128		61.17973		35.28889		35.3		98.29671		48.51807		48.51		52.89506
21		3.788037		3.78675		40.28064		11.87565		11.69559		55.04204		23.12684		23.14734		79.84249		53.9391		54		11.69559		40.1604		40		23.15372		98.5358		98.33647		55.12908		52.82482		52.89433		58.24166		35.31061		35.3		98.60902		48.50329		48.51		52.74714
24		3.78763		3.78675		40.16213		11.99364		11.95844		55.15635		23.17522		23.16945		79.82532		54.03038		54		11.95844		40.1568		40		23.1518		98.36663		98.4015		55.17163		52.76503		52.84056		57.95895		35.29319		35.3		98.35802		48.50934		48.51		52.80756
27		3.788369		3.78675		40.37839		11.89314		11.93579		55.2298		23.13964		23.17524		79.86562		54.02252		54		11.93579		40.13989		40		23.14189		98.44859		98.59771		55.189		52.7612		52.76959		61.20069		35.29474		35.3		98.38035		48.50327		48.51		52.74678
30		3.788096		3.78675		40.29915		11.87177		11.84438		55.156		23.18292		23.15463		79.80304		53.99077		54		11.84438		40.10507		40		23.12119		98.44156		98.32734		55.14718		52.75223		52.74746		61.82868		35.30902		35.3		98.5864		48.514		48.51		52.85399
33		3.786674		3.78675		39.88492		11.80907		12.0069		55.37943		23.07396		23.11755		79.86979		54.04722		54		12.0069		40.13067		40		23.13677		98.51063		98.20048		55.11605		52.71171		52.72343		61.04524		35.31375		35.3		98.65537		48.51064		48.51		52.82023
36		3.787635		3.78675		40.16567		11.9235		11.99354		55.25359		23.12782		23.1611		79.8613		54.04252		54		11.99354		40.1366		40		23.14057		98.3683		98.22541		55.13592		52.67674		52.71381		59.86148		35.29516		35.3		98.38548		48.49243		48.51		52.63792
39		3.787427		3.78675		40.1054		11.85785		11.98213		55.32699		23.14033		23.16468		79.85682		54.03848		54		11.98213		40.14513		40		23.14591		98.46196		98.28857		55.13469		52.70766		52.61203		66.12055		35.30583		35.3		98.53893		48.49573		48.51		52.6708
42		3.786936		3.78675		39.96268		11.89865		12.06984		55.39609		23.10369		23.1356		79.85861		54.06884		54		12.06984		40.14085		40		23.14356		98.45674		98.3517		55.14874		52.68575		52.80856		55.61439		35.3097		35.3		98.59389		48.50448		48.51		52.75831
45		3.78898		3.78675		40.55916		11.97319		11.91161		55.17959		23.17115		23.16658		79.8311		54.01386		54		11.91161		40.20342		40		23.18133		98.40262		98.33278		55.15057		52.76706		52.64681		67.20282		35.31567		35.3		98.67933		48.51184		48.51		52.83185
48		3.788111		3.78675		40.30602		11.92304		11.73428		55.05266		23.15012		23.15793		79.83839		53.95227		54		11.73428		40.12917		40		23.13699		98.3666		98.26025		55.13776		52.78504		52.88813		56.53992		35.28599		35.3		98.24975		48.49834		48.51		52.69671
51		3.787545		3.78675		40.14133		11.99248		12.26513		55.50161		23.17763		23.18677		79.84636		54.13652		54		12.26513		40.15457		40		23.15247		98.38704		98.34694		55.15361		52.78656		52.70407		65.36909		35.31033		35.3		98.60087		48.4945		48.51		52.65825
54		3.787772		3.78675		40.20784		11.94883		11.73385		55.02341		23.15787		23.13675		79.81831		53.952		54		11.73385		40.13293		40		23.1397		98.4114		98.43512		55.1764		52.76555		52.8735		56.22331		35.30467		35.3		98.5215		48.51525		48.51		52.86575
57		3.787507		3.78675		40.13101		11.92481		11.95608		55.25753		23.15336		23.12583		79.80655		54.02917		54		11.95608		40.16028		40		23.15631		98.41764		98.59139		55.20448		52.79396		52.70436		65.67387		35.27696		35.3		98.12262		48.49514		48.51		52.66457
60		3.78906		3.78675		40.58456		11.84559		11.80284		55.1603		23.12189		23.15315		79.86027		53.97597		54		11.80284		40.17672		40		23.16638		98.44106		98.27831		55.14818		52.8348		52.94421		56.12457		35.27856		35.3		98.14518		48.50222		48.51		52.73538
63		3.788556		3.78675		40.43806		11.75085		11.87185		55.35572		23.09264		23.16045		79.89587		53.99984		54		11.87185		40.09827		40		23.11953		98.51936		98.24217		55.12275		52.8293		52.699		67.68088		35.29894		35.3		98.43739		48.50432		48.51		52.75627
66		3.787404		3.78675		40.10273		11.83494		11.84728		55.2323		23.12757		23.11815		79.82178		53.99133		54		11.84728		40.16408		40		23.15923		98.50607		98.0414		55.09107		52.81564		52.7525		64.52867		35.30771		35.3		98.56392		48.50867		48.51		52.79971
69		3.786539		3.78675		39.85078		11.89489		11.98439		55.34805		23.19657		23.12068		79.75864		54.03888		54		11.98439		40.15932		40		23.15658		98.44273		98.55701		55.18237		52.83772		52.75636		65.41832		35.30979		35.3		98.59303		48.49958		48.51		52.70882
72		3.787521		3.78675		40.13731		11.88064		11.87168		55.26275		23.16377		23.14649		79.81543		53.99969		54		11.87168		40.11499		40		23.13021		98.43054		98.38656		55.15146		52.77318		52.97259		51.99668		35.30548		35.3		98.52957		48.48447		48.51		52.55752
75		3.785478		3.78675		39.54193		11.9425		12.1394		55.46296		23.17713		23.15983		79.81979		54.09264		54		12.1394		40.12183		40		23.13452		98.32788		98.51874		55.18987		52.7328		52.63703		66.14749		35.28668		35.3		98.25862		48.52017		48.51		52.91447
78		3.789292		3.78675		40.65489		11.95592		11.6896		55.00417		23.06871		23.14097		79.89556		53.93642		54		11.6896		40.16213		40		23.1589		98.3827		98.27891		55.13859		52.82125		52.73699		65.65696		35.31667		35.3		98.68951		48.51901		48.51		52.9027
81		3.788371		3.78675		40.38675		11.84637		11.72763		55.06949		23.13525		23.15836		79.85119		53.9497		54		11.72763		40.1811		40		23.17051		98.42181		98.4063		55.1583		52.91685		52.74661		69.88874		35.30034		35.3		98.45445		48.50384		48.51		52.75091
84		3.789367		3.78675		40.67775		11.89658		11.80039		55.08697		23.15533		23.13294		79.81639		53.97497		54		11.80039		40.14125		40		23.14682		98.50555		98.44347		55.15061		52.81435		52.8169		61.66661		35.29883		35.3		98.43253		48.50695		48.51		52.78203
87		3.786013		3.78675		39.6997		11.81964		11.82674		55.20206		23.14196		23.15437		79.84593		53.98416		54		11.82674		40.13961		40		23.14604		98.51895		98.22019		55.10523		52.74334		52.80071		59.00232		35.29104		35.3		98.32039		48.50942		48.51		52.80666
90		3.786991		3.78675		39.98538		11.72013		11.62485		55.09943		23.15666		23.15407		79.83161		53.91409		54		11.62485		40.21095		40		23.18905		98.51202		98.34414		55.12772		52.72687		52.77799		59.26215		35.27966		35.3		98.15668		48.49376		48.51		52.65
93		3.788469		3.78675		40.41689		11.91344		11.94982		55.25127		23.19759		23.13549		79.78058		54.02689		54		11.94982		40.12087		40		23.13519		98.4224		98.25231		55.11978		52.80022		52.69783		66.6106		35.30281		35.3		98.48884		48.4924		48.51		52.63633
96		3.787387		3.78675		40.10143		11.95216		11.74257		55.05119		23.14841		23.16579		79.8513		53.95486		54		11.74257		40.14816		40		23.15177		98.34763		98.34597		55.13577		52.69788		52.72226		60.49531		35.28306		35.3		98.20176		48.50227		48.51		52.73489
99		3.788784		3.78675		40.50933		11.97383		11.97339		55.24788		23.17674		23.12621		79.78665		54.035		54		11.97339		40.14932		40		23.15267		98.33737		98.43545		55.1454		52.76313		52.85683		57.1298		35.29488		35.3		98.37003		48.5129		48.51		52.84115
102		3.788028		3.78675		40.28922		11.86278		11.95323		55.35687		23.15962		23.14797		79.81495		54.02792		54		11.95323		40.13202		40		23.14249		98.34261		98.13306		55.0904		52.79018		52.79503		61.36848		35.29949		35.3		98.43538		48.51004		48.51		52.81248
105		3.78752		3.78675		40.14158		11.96342		11.70072		55.03482		23.15273		23.14541		79.82186		53.94017		54		11.70072		40.1213		40		23.13625		98.37928		98.37592		55.12548		52.82999		52.57201		73.97858		35.28903		35.3		98.28387		48.5003		48.51		52.71493
108		3.787237		3.78675		40.05961		11.83463		11.83733		55.30894		23.16972		23.16255		79.82566		53.98753		54		11.83733		40.11942		40		23.13534		98.37859		98.37969		55.12985		52.75651		52.90365		54.56736		35.30836		35.3		98.56205		48.52684		48.51		52.98035
111		3.788627		3.78675		40.46531		11.90773		11.83239		55.226		23.13119		23.13724		79.83511		53.9858		54		11.83239		40.09655		40		23.12182		98.37834		98.35915		55.12772		52.73508		52.93197		52.14535		35.29436		35.3		98.36013		48.50465		48.51		52.75838
114		3.785848		3.78675		39.65529		12.04769		12.01128		55.26265		23.11054		23.09046		79.80878		54.04788		54		12.01128		40.09368		40		23.12029		98.32297		98.39771		55.14862		52.71685		52.71752		61.5387		35.31773		35.3		98.69757		48.51362		48.51		52.84805
117		3.787253		3.78675		40.06526		11.82052		11.83961		55.27289		23.12654		23.12164		79.82398		53.98828		54		11.83961		40.14544		40		23.15153		98.47631		98.61803		55.16018		52.77026		52.71206		64.38269		35.30515		35.3		98.51492		48.50379		48.51		52.74955
120		3.787719		3.78675		40.20146		11.92976		11.76725		55.09766		23.15872		23.13433		79.80368		53.96313		54		11.76725		40.13749		40		23.14696		98.38592		98.44416		55.14642		52.6694		52.7969		55.426		35.31709		35.3		98.68703		48.521		48.51		52.92158
123		3.788697		3.78675		40.48678		12.00483		12.1193		55.38271		23.13006		23.12095		79.81822		54.08532		54		12.1193		40.12223		40		23.13801		98.30309		98.27897		55.12712		52.80734		52.82992		60.38251		35.28377		35.3		98.20498		48.49782		48.51		52.68977
126		3.78788		3.78675		40.24891		12.00765		12.05042		55.33189		23.1643		23.13716		79.79783		54.06133		54		12.05042		40.16736		40		23.16528		98.35291		98.55264		55.1675		52.79689		52.75047		63.76581		35.30531		35.3		98.51554		48.49685		48.51		52.67987
