Trend data for Model:	
Model time base:		72
Plot duration (secs):		30744

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.789464		3.78675		40.97492		11.9256		12.0965		54		22.97217		22.96308		79.42691		54.02393		54		12.0965		39.95633		40		22.96308		98.24007		98.45735		54.94209		52.85818		52.79315		62.01056		35.31593		35.3		98.45735		48.50288		48.51		52.79315
72		3.78433		3.78675		39.47706		11.95267		12.18467		55.67696		22.99519		22.97227		79.40676		54.04646		54		12.18467		39.99078		40		22.97249		98.26153		98.16434		54.94845		52.88505		52.88819		60.88784		35.30741		35.3		98.34306		48.49703		48.51		52.73538
144		3.788071		3.78675		40.56632		12.18515		11.82932		55.12129		22.97377		22.96684		79.43212		53.95725		54		11.82932		39.9978		40		22.97398		98.1008		98.36262		55.02802		52.86516		52.78035		65.19326		35.29774		35.3		98.20681		48.50703		48.51		52.83563
216		3.786143		3.78675		40.00342		11.97368		11.91622		55.48882		22.94701		22.98737		79.47859		53.97899		54		11.91622		39.99009		40		22.97124		98.28052		98.14808		54.9601		52.79443		52.84197		59.00502		35.30041		35.3		98.24383		48.48119		48.51		52.57721
288		3.786052		3.78675		39.97777		11.89795		12.10583		55.64954		22.97983		22.977		79.41408		54.02779		54		12.10583		39.99751		40		22.97308		98.28076		98.19299		54.97119		52.80625		52.82577		59.98477		35.30787		35.3		98.36934		48.51664		48.51		52.93277
360		3.785255		3.78675		39.74467		12.04617		12.05754		55.3582		22.96918		22.95891		79.43092		54.0159		54		12.05754		39.98426		40		22.96929		98.22943		98.33353		55.0153		52.82261		52.70145		66.87805		35.29571		35.3		98.19389		48.51488		48.51		52.91531
432		3.788794		3.78675		40.77822		11.84009		11.96163		55.39694		22.96866		22.98957		79.45058		53.993		54		11.96163		39.96573		40		22.96414		98.41176		98.45117		55.03319		52.90438		52.90505		61.03112		35.31405		35.3		98.47652		48.51605		48.51		52.9277
504		3.785801		3.78675		39.90553		11.91336		11.90955		55.27807		23.00641		22.9871		79.44175		53.9815		54		11.90955		40.02157		40		22.982		98.30148		98.24257		54.97577		52.87394		52.95887		57.04243		35.29968		35.3		98.27721		48.50845		48.51		52.85216
576		3.784947		3.78675		39.65624		11.93895		11.86038		55.14766		23.02295		22.98678		79.44775		53.971		54		11.86038		40.0037		40		22.9785		98.25627		98.14236		54.92655		52.95972		52.7331		72.4153		35.29991		35.3		98.28014		48.51852		48.51		52.95294
648		3.788774		3.78675		40.77155		11.75315		11.7845		55.25768		22.95911		22.99836		79.53334		53.95382		54		11.7845		40.15074		40		23.02506		98.32662		97.99532		54.84208		52.78162		52.77388		62.04463		35.29737		35.3		98.23241		48.50481		48.51		52.81527
720		3.78808		3.78675		40.56813		11.90942		11.90657		55.30525		23.01566		22.99387		79.4872		53.98558		54		11.90657		40.105		40		23.01431		98.18608		98.29266		54.90629		52.89982		52.67112		72.45087		35.30345		35.3		98.30807		48.51155		48.51		52.88181
792		3.787419		3.78675		40.37548		11.95649		11.88364		55.30221		22.99649		22.99522		79.50696		53.9793		54		11.88364		40.11347		40		23.02009		98.26633		98.34738		54.99289		52.80769		52.85708		59.31306		35.32043		35.3		98.55091		48.51562		48.51		52.92167
864		3.786311		3.78675		40.05284		11.98108		12.1892		55.74183		23.00157		23.00086		79.53242		54.05528		54		12.1892		40.06514		40		23.00885		98.26555		98.44952		55.05044		52.82635		52.94345		56.00321		35.31402		35.3		98.46729		48.52398		48.51		53.0054
936		3.785862		3.78675		39.92172		12.11154		12.13935		55.50759		23.01965		23.01848		79.53569		54.04201		54		12.13935		40.08034		40		23.01653		98.1723		98.3538		55.05828		52.79995		52.90621		56.43734		35.30405		35.3		98.32243		48.51824		48.51		52.94721
1008		3.785439		3.78675		39.79905		11.9213		12.39756		55.87261		23.01042		23.02014		79.53763		54.10651		54		12.39756		40.08379		40		23.02038		98.402		98.15126		54.99317		52.86049		52.95296		57.06373		35.28718		35.3		98.08392		48.51269		48.51		52.89113
1080		3.787122		3.78675		40.28903		12.02467		11.99685		55.33934		22.9958		23.01851		79.55219		54.00599		54		11.99685		40.08997		40		23.02509		98.08555		98.09234		54.99666		52.91979		52.86881		63.99948		35.27744		35.3		97.939		48.51353		48.51		52.89882
1152		3.786788		3.78675		40.19156		12.18935		12.27441		55.51877		23.01572		23.00986		79.54874		54.07578		54		12.27441		40.03695		40		23.01231		98.15214		98.23621		54.99984		52.71642		52.86859		54.02442		35.29199		35.3		98.14873		48.49873		48.51		52.75031
1224		3.786157		3.78675		40.00806		12.03824		12.15715		55.51848		23.05498		23.02924		79.52615		54.04616		54		12.15715		40.01108		40		23.00754		98.19828		98.23198		54.9914		52.81579		52.84639		60.07542		35.2909		35.3		98.12936		48.51121		48.51		52.87532
1296		3.785962		3.78675		39.95105		12.13427		11.75031		55.12872		23.00433		23.02171		79.56961		53.94309		54		11.75031		40.09081		40		23.03422		98.17158		98.02984		55.00614		52.86677		52.83273		63.10078		35.29144		35.3		98.13763		48.4959		48.51		52.72184
1368		3.78658		3.78675		40.13138		12.12124		12.01723		55.52636		22.99116		23.02925		79.59615		54.0086		54		12.01723		39.99183		40		23.00679		98.27		98.30069		55.08123		52.78622		52.93066		54.44851		35.30312		35.3		98.31052		48.52582		48.51		53.02097
1440		3.784696		3.78675		39.57967		12.09722		12.18064		55.71361		23.00554		23.02212		79.56607		54.04754		54		12.18064		40.08903		40		23.03785		98.32128		98.14714		55.06864		52.78007		52.79432		61.12		35.29145		35.3		98.13411		48.50118		48.51		52.77379
1512		3.787912		3.78675		40.51926		11.98313		12.22604		55.74754		23.01526		23.02763		79.54272		54.05797		54		12.22604		40.03642		40		23.02337		98.26663		98.10042		55.08429		52.84497		52.9139		58.19441		35.28888		35.3		98.10982		48.52645		48.51		53.02703
1584		3.787521		3.78675		40.40471		12.17179		11.99858		55.38281		23.06494		23.01697		79.50825		53.9999		54		11.99858		40.03705		40		23.02441		98.22988		98.24684		55.09374		52.83038		52.84027		60.81595		35.29084		35.3		98.13792		48.51057		48.51		52.86888
1656		3.789189		3.78675		40.89235		11.73968		11.90185		55.55565		23.07045		23.00937		79.48203		53.97547		54		11.90185		40.0334		40		23.0239		98.50336		98.40703		55.08057		52.89927		52.77369		67.44107		35.32076		35.3		98.57915		48.52875		48.51		53.0516
1728		3.787244		3.78675		40.32517		12.13279		12.06533		55.34849		23.04956		23.02238		79.53061		54.01728		54		12.06533		40.06502		40		23.03436		98.16099		98.2085		55.04461		52.88619		52.62994		73.85953		35.28901		35.3		98.12604		48.52451		48.51		53.00991
1800		3.78828		3.78675		40.62701		12.02802		12.0581		55.28163		23.03987		23.0148		79.52395		54.01658		54		12.0581		39.99901		40		23.01541		98.2706		98.32633		55.02169		52.89909		52.99233		56.96046		35.30635		35.3		98.37445		48.50876		48.51		52.85332
1872		3.788809		3.78675		40.78118		11.74833		11.92164		55.39556		23.03445		23.01446		79.55522		53.98398		54		11.92164		40.0489		40		23.03171		98.4558		98.30575		54.94549		52.92644		52.90668		62.30893		35.31759		35.3		98.53987		48.5186		48.51		52.95253
1944		3.790644		3.78675		41.31682		11.8742		12.34311		55.718		23.03677		23.02851		79.56908		54.09128		54		12.34311		40.0304		40		23.02792		98.30537		98.42204		54.98598		52.87606		53.14501		48.44769		35.30485		35.3		98.35653		48.5075		48.51		52.84125
2016		3.786806		3.78675		40.19839		11.97129		12.2053		55.62793		23.03035		23.03556		79.58938		54.05746		54		12.2053		40.05189		40		23.03628		98.19591		98.50537		55.02711		52.93247		52.83135		66.00174		35.30917		35.3		98.41647		48.5097		48.51		52.86335
2088		3.788868		3.78675		40.80104		12.11247		11.79124		55.09669		23.04292		23.04539		79.60249		53.9538		54		11.79124		40.03234		40		23.0323		98.21249		98.47227		55.0679		52.89725		52.85045		63.68921		35.31029		35.3		98.43769		48.50425		48.51		52.80887
2160		3.787114		3.78675		40.28939		11.84697		12.3552		55.82645		23.00553		23.04476		79.63554		54.0957		54		12.3552		40.04351		40		23.03765		98.34604		98.26998		54.97921		52.88504		52.90492		60.40936		35.28524		35.3		98.0691		48.49463		48.51		52.71229
2232		3.784714		3.78675		39.5893		12.01604		11.72317		55.04247		23.01331		23.03766		79.61576		53.93703		54		11.72317		40.03503		40		23.03706		98.25762		97.81483		54.91501		52.95855		52.91195		63.89437		35.29594		35.3		98.21304		48.49419		48.51		52.70704
2304		3.785272		3.78675		39.75188		11.99812		11.58412		54.94372		23.03396		23.03362		79.59813		53.90178		54		11.58412		40.02132		40		23.03474		98.30175		98.32524		55.00353		52.97498		52.77928		71.11754		35.30294		35.3		98.3067		48.50957		48.51		52.86009
2376		3.785708		3.78675		39.87815		12.13646		11.60549		54.90251		23.03873		23.02657		79.59529		53.9061		54		11.60549		40.04642		40		23.04402		98.1851		98.47288		55.08549		52.81906		52.8359		60.75098		35.30299		35.3		98.30441		48.51313		48.51		52.89497
2448		3.786621		3.78675		40.14443		11.94708		12.17059		55.59192		23.03684		23.04189		79.61701		54.04792		54		12.17059		39.98959		40		23.02851		98.34803		98.31565		55.02079		52.87682		52.8324		63.55932		35.29676		35.3		98.22041		48.505		48.51		52.81336
2520		3.786052		3.78675		39.97845		11.9777		11.89523		55.36909		23.07063		23.03739		79.57194		53.97847		54		11.89523		40.03589		40		23.04337		98.35579		98.34959		55.04271		52.85546		52.70318		68.85346		35.29017		35.3		98.12901		48.51889		48.51		52.95246
2592		3.786684		3.78675		40.1625		11.83382		12.24951		55.75926		23.0005		23.05307		79.66074		54.06777		54		12.24951		40.00922		40		23.03654		98.33197		98.1639		54.95169		52.77183		52.83091		58.99353		35.3018		35.3		98.28814		48.49224		48.51		52.68501
2664		3.787143		3.78675		40.29654		11.95794		11.85451		55.24985		23.0224		23.04467		79.6299		53.96907		54		11.85451		40.08261		40		23.05972		98.3271		98.06307		54.90586		52.78695		52.78311		61.93448		35.28731		35.3		98.07004		48.50838		48.51		52.84601
2736		3.786574		3.78675		40.13153		12.20207		11.70231		54.88984		23.01144		23.02704		79.61435		53.9304		54		11.70231		40.07803		40		23.05937		98.10503		98.10875		55.00019		52.7883		52.90138		56.30078		35.29217		35.3		98.14003		48.49919		48.51		52.75372
2808		3.785921		3.78675		39.94161		12.03807		11.98359		55.3521		23.06289		23.04599		79.59373		54.00016		54		11.98359		39.96213		40		23.02541		98.2184		98.10945		55.00998		52.83984		52.92583		57.41936		35.28356		35.3		98.01495		48.50509		48.51		52.81217
2880		3.785866		3.78675		39.92523		11.99539		11.99014		55.60079		23.07054		23.03607		79.55947		54.00038		54		11.99014		39.97652		40		23.02994		98.28641		98.19737		55.03132		52.78837		53.14978		44.19226		35.29884		35.3		98.23155		48.51129		48.51		52.87355
2952		3.788529		3.78675		40.70163		12.08905		12.19554		55.74995		22.95989		23.02333		79.62559		54.05015		54		12.19554		40.00236		40		23.03714		98.29596		98.33846		55.09207		52.89937		52.66211		72.7425		35.30253		35.3		98.28679		48.50406		48.51		52.80143
3024		3.788688		3.78675		40.74765		11.97352		12.14451		55.66478		23.05718		23.04002		79.55586		54.03668		54		12.14451		39.98007		40		23.02936		98.25428		98.75971		55.17131		52.88591		52.92368		59.42104		35.29286		35.3		98.15637		48.50349		48.51		52.79625
