*Alarm tag	drawing
SSP_3D1	BETA_PERMISSIVES
SSP_3D1	BETA_PERMISSIVES
SCP_3D1	BETA_PERMISSIVES
SCP_3D1	BETA_PERMISSIVES
SCP_3D1	BETA_PERMISSIVES
SCP_3D1	BETA_PERMISSIVES
SCP_3D1	BETA_PERMISSIVES
SCP_3D1	BETA_PERMISSIVES
SCP_6D1	BETA_PERMISSIVES
SCP_6D1	BETA_PERMISSIVES
SCP_6D1	BETA_PERMISSIVES
SCP_6D1	BETA_PERMISSIVES
SCP_6D1	BETA_PERMISSIVES
SCP_6D1	BETA_PERMISSIVES
SCP_7D1	BETA_PERMISSIVES
SCP_7D1	BETA_PERMISSIVES
SCP_7D1	BETA_PERMISSIVES
SCP_7D1	BETA_PERMISSIVES
SCP_7D1	BETA_PERMISSIVES
SCP_7D1	BETA_PERMISSIVES
SCP_8D1	BETA_PERMISSIVES
SCP_8D1	BETA_PERMISSIVES
SCP_8D1	BETA_PERMISSIVES
SCP_8D1	BETA_PERMISSIVES
SCP_8D1	BETA_PERMISSIVES
SCP_8D1	BETA_PERMISSIVES
SCP_14D1	BETA_PERMISSIVES
SCP_14D1	BETA_PERMISSIVES
SCP_14D1	BETA_PERMISSIVES
SCP_14D1	BETA_PERMISSIVES
SCP_14D1	BETA_PERMISSIVES
SCP_14D1	BETA_PERMISSIVES
SCP_15D1	BETA_PERMISSIVES
SCP_15D1	BETA_PERMISSIVES
SCP_15D1	BETA_PERMISSIVES
SCP_15D1	BETA_PERMISSIVES
SCP_15D1	BETA_PERMISSIVES
SCP_15D1	BETA_PERMISSIVES
17_XS1155	BETA_PERMISSIVES
17_XS1155	BETA_PERMISSIVES
17_XS1155	BETA_PERMISSIVES
18_XI1119	BETA_PERMISSIVES
18_XI1119	BETA_PERMISSIVES
18_XI1119	BETA_PERMISSIVES
18_XI1119	BETA_PERMISSIVES
18_XI1119	BETA_PERMISSIVES
18_XI1119	BETA_PERMISSIVES
SSP_6D1	BETA_PERMISSIVES
SSP_6D1	BETA_PERMISSIVES
SSP_6D1	BETA_PERMISSIVES
SSP_6D1	BETA_PERMISSIVES
SSP_6D1	BETA_PERMISSIVES
SSP_6D1	BETA_PERMISSIVES
SCP_12D1	BETA_PERMISSIVES
SCP_12D1	BETA_PERMISSIVES
SCP_12D1	BETA_PERMISSIVES
SCP_12D1	BETA_PERMISSIVES
SCP_12D1	BETA_PERMISSIVES
SCP_12D1	BETA_PERMISSIVES
SCP_13D1	BETA_PERMISSIVES
SCP_13D1	BETA_PERMISSIVES
SCP_13D1	BETA_PERMISSIVES
SCP_13D1	BETA_PERMISSIVES
SCP_13D1	BETA_PERMISSIVES
SCP_13D1	BETA_PERMISSIVES
SCP_11D1	BETA_PERMISSIVES
SCP_11D1	BETA_PERMISSIVES
SCP_11D1	BETA_PERMISSIVES
SCP_11D1	BETA_PERMISSIVES
SCP_11D1	BETA_PERMISSIVES
SCP_11D1	BETA_PERMISSIVES
SCP_2D1	BETA_PERMISSIVES
SCP_2D1	BETA_PERMISSIVES
SCP_2D1	BETA_PERMISSIVES
SCP_2D1	BETA_PERMISSIVES
SCP_2D1	BETA_PERMISSIVES
SCP_2D1	BETA_PERMISSIVES
SSP_4D1	BETA_PERMISSIVES
SSP_4D1	BETA_PERMISSIVES
SSP_4D1	BETA_PERMISSIVES
SSP_4D1	BETA_PERMISSIVES
SSP_4D1	BETA_PERMISSIVES
SSP_4D1	BETA_PERMISSIVES
SSP_5D1	BETA_PERMISSIVES
SSP_5D1	BETA_PERMISSIVES
SSP_5D1	BETA_PERMISSIVES
SSP_5D1	BETA_PERMISSIVES
SSP_5D1	BETA_PERMISSIVES
SSP_5D1	BETA_PERMISSIVES
MCS_D1	BETA_PERMISSIVES
MCS_D1	BETA_PERMISSIVES
MCS_D1	BETA_PERMISSIVES
MCS_D1	BETA_PERMISSIVES
MCS_D1	BETA_PERMISSIVES
MCS_D1	BETA_PERMISSIVES
SEL_CONTROLD1	BETA_PERMISSIVES
SEL_CONTROLD1	BETA_PERMISSIVES
SEL_CONTROLD1	BETA_PERMISSIVES
SEL_CONTROLD1	BETA_PERMISSIVES
SEL_CONTROLD1	BETA_PERMISSIVES
SEL_CONTROLD1	BETA_PERMISSIVES
SCP_4D1	BETA_PERMISSIVES
SCP_4D1	BETA_PERMISSIVES
SCP_4D1	BETA_PERMISSIVES
SCP_4D1	BETA_PERMISSIVES
SCP_4D1	BETA_PERMISSIVES
SCP_4D1	BETA_PERMISSIVES
18_TT0203	WELL_D2_PROD
18_TT0203	WELL_D2_PROD
18_TT0203	WELL_D2_PROD
18_PT0203	WELL_D2_PROD
18_PT0203	WELL_D2_PROD
18_PT0203	WELL_D2_PROD
18_TT0200	WELL_D2_PROD
18_TT0200	WELL_D2_PROD
18_TT0200	WELL_D2_PROD
18_PT0200	WELL_D2_PROD
18_PT0200	WELL_D2_PROD
18_PT0200	WELL_D2_PROD
18_TT0201	WELL_D2_PROD
18_TT0201	WELL_D2_PROD
18_TT0201	WELL_D2_PROD
18_TT0204	WELL_D2_PROD
18_TT0204	WELL_D2_PROD
18_TT0204	WELL_D2_PROD
18_PT0204	WELL_D2_PROD
18_PT0204	WELL_D2_PROD
18_PT0204	WELL_D2_PROD
18_PT0201	WELL_D2_PROD
18_PT0201	WELL_D2_PROD
18_PT0201	WELL_D2_PROD
18_TT0205	WELL_D2_PROD
18_TT0205	WELL_D2_PROD
18_TT0205	WELL_D2_PROD
18_PT0205	WELL_D2_PROD
18_PT0205	WELL_D2_PROD
18_PT0205	WELL_D2_PROD
18_TT0202	WELL_D2_PROD
18_TT0202	WELL_D2_PROD
18_TT0202	WELL_D2_PROD
18_PT0202	WELL_D2_PROD
18_PT0202	WELL_D2_PROD
18_PT0202	WELL_D2_PROD
