Trend data for Model:	
Model time base:		8
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		23LIC0001:Measurement		23LIC0001:InternalSetpoint		23LIC0001:ControllerOutput		23LIC0002:Measurement		23LIC0002:InternalSetpoint		23LIC0002:ControllerOutput
Units		fract		fract		fract		fract		fract		fract
Legend titles												
0		0.6003734		0.6		0.2476206		0.7511724		0.75		0.6698458
8		0.6006101		0.6		0.2620071		0.7470331		0.75		0.6691261
16		0.600516		0.6		0.255772		0.7491272		0.75		0.6695226
24		0.6009475		0.6		0.2846106		0.7497051		0.75		0.6695894
32		0.6013455		0.6		0.3131138		0.7492152		0.75		0.6694403
40		0.5993779		0.6		0.1890482		0.747355		0.75		0.6689989
48		0.5997631		0.6		0.2126324		0.7485295		0.75		0.6691051
56		0.5996802		0.6		0.2065765		0.7450319		0.75		0.6682214
64		0.6004498		0.6		0.255038		0.7481771		0.75		0.6687142
72		0.6011357		0.6		0.2992664		0.7480366		0.75		0.6685348
80		0.6016723		0.6		0.3370317		0.745733		0.75		0.6679005
88		0.5999863		0.6		0.2319451		0.7463589		0.75		0.6678501
96		0.5983836		0.6		0.128575		0.7467314		0.75		0.6677099
104		0.5984638		0.6		0.1315084		0.7461277		0.75		0.6673236
112		0.6016754		0.6		0.3347896		0.7462529		0.75		0.667104
120		0.6002533		0.6		0.2478648		0.74618		0.75		0.6668968
128		0.6017262		0.6		0.3432458		0.7471925		0.75		0.666846
136		0.599901		0.6		0.2289779		0.7452392		0.75		0.6662111
144		0.5985742		0.6		0.1428947		0.7450597		0.75		0.6658479
152		0.5985195		0.6		0.1363195		0.7444379		0.75		0.6654118
160		0.6018971		0.6		0.3504844		0.7454671		0.75		0.6653104
168		0.6015105		0.6		0.3308186		0.7456832		0.75		0.6650773
176		0.600772		0.6		0.2868769		0.7458089		0.75		0.6647978
184		0.5991686		0.6		0.1843705		0.7453293		0.75		0.6643726
192		0.5984235		0.6		0.1338148		0.7420559		0.75		0.6633398
200		0.6003904		0.6		0.2557102		0.7441707		0.75		0.6634071
208		0.6019698		0.6		0.3586986		0.7456318		0.75		0.6633685
