Trend data for Model:	
Model time base:		8
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		23LIC0001:Measurement		23LIC0001:InternalSetpoint		23LIC0001:ControllerOutput		23LIC0002:Measurement		23LIC0002:InternalSetpoint		23LIC0002:ControllerOutput
Units		fract		fract		fract		fract		fract		fract
Legend titles												
720		0.64321		0.65		0.4099948		0.7474262		0.75		0.6710345
728		0.6408011		0.65		0.2418264		0.746366		0.75		0.6705961
736		0.6394199		0.65		0.1333776		0.7452739		0.75		0.670121
744		0.6392447		0.65		0.1004453		0.7440873		0.75		0.6695904
752		0.642131		0.65		0.2634698		0.7460043		0.75		0.6697201
760		0.644404		0.65		0.3934191		0.7448481		0.75		0.6692072
768		0.6435745		0.65		0.3284377		0.7445039		0.75		0.6688369
776		0.641032		0.65		0.1536572		0.7454007		0.75		0.6686787
784		0.6412759		0.65		0.1524484		0.7432261		0.75		0.6678614
792		0.6405155		0.65		0.0860573		0.7427216		0.75		0.6673238
800		0.6424131		0.65		0.1898184		0.7438076		0.75		0.6671378
808		0.6449425		0.65		0.3375579		0.7446841		0.75		0.6669462
816		0.6450757		0.65		0.3364685		0.7433849		0.75		0.6663302
824		0.6428565		0.65		0.1850788		0.7414597		0.75		0.6655404
832		0.6424443		0.65		0.1444535		0.7409728		0.75		0.6650073
840		0.6434166		0.65		0.1904137		0.7417871		0.75		0.6647005
848		0.6435642		0.65		0.1871177		0.7436083		0.75		0.6646222
856		0.6473348		0.65		0.4155024		0.7447568		0.75		0.664456
864		0.6465093		0.65		0.3567466		0.7474644		0.75		0.6646754
872		0.6430502		0.65		0.1292139		0.7433642		0.75		0.6634258
880		0.6425048		0.65		0.08260272		0.7428781		0.75		0.6628994
888		0.6435198		0.65		0.13266		0.7439858		0.75		0.6626763
896		0.6450129		0.65		0.2141133		0.7444322		0.75		0.662361
904		0.6494008		0.65		0.4848482		0.744204		0.75		0.6619801
912		0.6477277		0.65		0.3758845		0.7452091		0.75		0.6618885
920		0.6456788		0.65		0.2405731		0.7436759		0.75		0.6612677
928		0.6424272		0.65		0.02358892		0.7450881		0.75		0.6611941
936		0.6438008		0.65		0.09687499		0.7453943		0.75		0.6608933
944		0.6461389		0.65		0.232902		0.74451		0.75		0.6603412
952		0.6481763		0.65		0.3572661		0.747197		0.75		0.6606415
960		0.6494394		0.65		0.4360877		0.7486262		0.75		0.6607588
968		0.6485668		0.65		0.3772501		0.7449263		0.75		0.6598197
976		0.6431041		0.65		0.02201538		0.7465193		0.75		0.6598893
984		0.6437209		0.65		0.06378011		0.7458636		0.75		0.6595002
992		0.6455416		0.65		0.1700163		0.7477134		0.75		0.6596856
