Trend data for Model:	
Model time base:		8
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		23LIC0001:Measurement		23LIC0001:InternalSetpoint		23LIC0001:ControllerOutput		23LIC0002:Measurement		23LIC0002:InternalSetpoint		23LIC0002:ControllerOutput
Units		fract		fract		fract		fract		fract		fract
Legend titles												
0		0.6003734		0.6		0.2476206		0.7511724		0.75		0.6698458
8		0.5994682		0.6		0.237182		0.7499611		0.75		0.6663869
16		0.5984515		0.6		0.2252974		0.7483892		0.75		0.6569413
24		0.5996617		0.6		0.2390922		0.7478586		0.75		0.6532163
32		0.5994211		0.6		0.2364089		0.7503305		0.75		0.6677407
40		0.6006826		0.6		0.2509717		0.7490754		0.75		0.6599135
48		0.5995374		0.6		0.2379966		0.75026		0.75		0.6669391
56		0.5992301		0.6		0.234531		0.7508093		0.75		0.6703468
64		0.6014713		0.6		0.2603603		0.7502535		0.75		0.6667605
72		0.6002078		0.6		0.2458817		0.7496864		0.75		0.6629277
80		0.600572		0.6		0.2502017		0.7493595		0.75		0.6608738
88		0.5992629		0.6		0.2350185		0.7499918		0.75		0.6647164
96		0.6005302		0.6		0.2495239		0.7498739		0.75		0.6644849
104		0.6001686		0.6		0.2454001		0.7487305		0.75		0.6575221
112		0.5994329		0.6		0.236987		0.7506178		0.75		0.6688696
120		0.6005512		0.6		0.2499184		0.7498416		0.75		0.6645689
128		0.5999597		0.6		0.2431586		0.7475727		0.75		0.6503109
136		0.5999402		0.6		0.2430167		0.7504511		0.75		0.6677269
144		0.6012547		0.6		0.2583318		0.7487706		0.75		0.6574041
152		0.6007025		0.6		0.2519575		0.7511027		0.75		0.6715549
160		0.598771		0.6		0.229723		0.7504291		0.75		0.6674347
168		0.599742		0.6		0.2408826		0.7491056		0.75		0.6596956
176		0.6000996		0.6		0.2449786		0.7509253		0.75		0.6704642
184		0.6014301		0.6		0.260408		0.7502152		0.75		0.6661949
192		0.5996087		0.6		0.2394515		0.750021		0.75		0.6651021
200		0.5997665		0.6		0.2412586		0.750439		0.75		0.6676621
208		0.5986402		0.6		0.2281524		0.7498721		0.75		0.6641327
