Trend data for Model:	
Model time base:		8
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		23LIC0001:Measurement		23LIC0001:InternalSetpoint		23LIC0001:ControllerOutput		23LIC0002:Measurement		23LIC0002:InternalSetpoint		23LIC0002:ControllerOutput
Units		fract		fract		fract		fract		fract		fract
Legend titles												
712		0.5996296		0.6		0.2398512		0.7995663		0.8		0.6616873
720		0.6000227		0.6		0.2443807		0.79986		0.8		0.6638547
728		0.5995724		0.6		0.2391911		0.7998737		0.8		0.6640079
736		0.6011976		0.6		0.2578098		0.7988287		0.8		0.6576548
744		0.6006938		0.6		0.2520351		0.8026214		0.8		0.6805968
752		0.6009048		0.6		0.2545765		0.8010261		0.8		0.6711225
760		0.6010038		0.6		0.2558046		0.8004662		0.8		0.6679678
768		0.5999698		0.6		0.2440513		0.8002322		0.8		0.6668559
776		0.6001615		0.6		0.2462894		0.7985322		0.8		0.6563457
784		0.5990374		0.6		0.2333955		0.7980575		0.8		0.6530453
792		0.5996525		0.6		0.2405525		0.7980663		0.8		0.652701
800		0.6010821		0.6		0.2570677		0.7986811		0.8		0.6562064
808		0.5997659		0.6		0.2417449		0.7985409		0.8		0.6555127
816		0.599117		0.6		0.234214		0.7992868		0.8		0.6602727
824		0.6009825		0.6		0.2556139		0.7993236		0.8		0.6609995
832		0.599284		0.6		0.2361258		0.8001597		0.8		0.6664464
840		0.6011882		0.6		0.258115		0.7997112		0.8		0.6636422
848		0.600353		0.6		0.2484312		0.7996259		0.8		0.6631155
856		0.599672		0.6		0.2404561		0.7990261		0.8		0.6590487
864		0.6005805		0.6		0.2508879		0.7996904		0.8		0.6628281
872		0.6015787		0.6		0.2625134		0.7991348		0.8		0.6592371
880		0.5986109		0.6		0.2283878		0.8009611		0.8		0.6705234
888		0.6003203		0.6		0.2481233		0.7997537		0.8		0.6630309
896		0.6003395		0.6		0.2482669		0.8019584		0.8		0.6765751
904		0.6005054		0.6		0.2502584		0.8000972		0.8		0.6654691
912		0.5988769		0.6		0.231604		0.7997827		0.8		0.6635394
920		0.6011217		0.6		0.2575413		0.7989862		0.8		0.6586043
928		0.5995016		0.6		0.2388812		0.8007469		0.8		0.6691624
936		0.5992517		0.6		0.2358737		0.8008408		0.8		0.6695936
944		0.601252		0.6		0.2587634		0.7994757		0.8		0.6614577
